Label,Title,Poet,Poem,Tags,Poem_word_count,Poem_char_count
death,The Poem of Death,Michael Gessner,"This is the poem of death. There is only one and no other. Every one is an occasion, one way or another, and the last poem is this poem of death. It is an occasion like no other. I will no longer lope after elegance, beauty’s body, or love’s wonder. I will be sorry for everything I was, and for everything I was not. I speak to you as if you were my brother. I will forgive everyone. Death will make this possible. There will be no other. Death was in the mind before thought or love, in ourselves, and in our lovers. The poem of death is speechless. A companion will appear again like another self, like your brother. Enough now, enough has been said. The spinning leaf will spin like no other.",['death'],134,696
death,Fiddlers at the Desert Valley County Care Center,Michael Gessner,"Among physicians rich in their death watch In hallways crowded with locked wheelchairs, Cradles of a century’s platitudes, The stale air smelling of disinfectant And weeping wounds enough to stupefy nurses, Among the staring insomniacs of the day room, The stroke victims on their rented gurneys, Complaining orderlies and rattling carts Among these in this place my father lay At the end of everything In the curved landscapes of white sheets Abandoned finally by parents, his son, The loyal company, old friends, his death A sign of other deaths too soon to come Unable to recall one life, his thoughts, Features, he lay unknown to himself, The tall hunter of pheasants out with his boy In vellum corn and brassy orchards In an autumn that never was, the proud White-collared Ford employee lay on a bed Too short for legs tattooed with red burn-rings From daily syringes of Cytosar Considered useless, still a requirement For state funding for a body described Leukemic waiting for Saturday's fiddlers Who came to raise the spirits of the dead With a music he never cared for turned Suddenly attractive, he found genius, Theirs or his like some lyrical phosphor That shapes itself in the dry night air To make a thing then make it disappear He lay listening to the county fiddlers At the end of every purpose, act and form I leave you here, my father, in perfect accord.","['death', 'sorrow & grieving']",236,1372
death,Declaration,Bei Dao,"for Yu Luoke Perhaps the final hour is come I have left no testament Only a pen, for my mother I am no hero In an age without heroes I just want to be a man The still horizon Divides the ranks of the living and the dead I can only choose the sky I will not kneel on the ground Allowing the executioners to look tall The better to obstruct the wind of freedom From star-like bullet holes shall flow A blood-red dawn","['death', 'crime & punishment']",84,414
death,Dust to Dust,April Ossmann,"Nevermind that keeping ashes on the mantel feels ghoulish, and comically impractical: not just another thing, a miniature memento urn, to dust, but dust to dust— I dread the conversational Hara-kiri, not, that’s what’s leftof my brother, but, he died of suicide: the chasm of silence following the leap— so the cremains stay in the office closet till they migrate through no will of their own to a moving box I haven’t unpacked and likely won’t.","['death', 'sorrow & grieving']",76,445
death,All Kinds of Fires Inside Our Heads,Nikki Wallschlaeger,"The number of bodies i have is equal to the number of gurney transfers that are televised. If we’re all “just human” then who is responsible? A fire station drying out from addiction. outside the drizzling of firepower, lowballing suns it’s like a sauna in here. the strain of a charred bladder. bottled water bad wiring, that spark is no good come sit with me for a minute. my feet full of diluted axe fluid thought I heard you say everything is medicine but that’s just hearin what you wanna hear","['living', 'death', 'health & illness', 'life choices', 'social commentaries', 'race & ethnicity']",91,498
death,[That],Leslie Harrison,That this is the morning in which nothing much that the sky is still there and the water dresses accordingly that only at night does the water rest vanish from sight that the stars are too small too far to register there that all our names too are writ invisibly on water that abiding requires more hope than I can possibly acquire that hope is not a thing with feathers that hope is a thing with a fist a thin crust sketched over oceans that hope is what despair uses for bait come in hope says the water's fine that hope is the blood with which you write letters that start dear sea dear ocean stop asking so fucking much that hope is a telegram delivered by men in pairs men in uniform a telegram that says missing stop that says once again presumed lost stop,"['living', 'death', 'sorrow & grieving']",146,762
death,Let Me Explain,David Shook,"after Neruda Go ahead, ask: where are the pomegranates, the dates, the girls with skin brown as hash, the hash? Listen to what’s happening One morning bonfires began to leap from the earth, devouring human beings, lit by matches flicked across the sky with joysticks. And from then on fire, from then on burning hair, from then on limbs and meat. Invisible bandits, pickpockets from ten-thousand feet, faceless, thoughtless, dumb except for humming, bandits marked with tiny flags, controlled from continents away by children, child bandits with letter jackets left hanging in their girlfriends' closets, child bandits with bibles thumbed and highlighted, spear missiles through the sky to kill other children and the blood of children runs through the streets, neither seen nor heard, obedient, simply, like children's blood. Ask away: why doesn’t his poetry describe our urban loneliness, the body drenched in metaphor? There’s nothing to see here, nothing to see, just blood in the sand, blood in the streets, nothing to see.","['living', 'death', 'youth', 'arts & sciences', 'poetry & poets', 'social commentaries', 'war & conflict']",164,1028
death,No People in It,Emily Skillings,"for JA I flutter in order to enter the phrase’s silver. Jackdaws have launched nearby this time, silk green and ripped, the movement a kind of chafing thinking. Oh he’s marking terrain right there— right there with his unmade song. The shadow kids whip fronds, froth air up into heat, pure and simple “violence of the eye.” Wild iris ink, wet in the margin’s stage. Well, hadn’t this testament begun to carry its chime in stripes? That’s when I knew he was going away from me, towards the sound. Like the ring on the table it can’t be decentered. Rim around the recent. Ashes, ashes, A bright tangled seeming.","['living', 'death', 'sorrow & grieving', 'arts & sciences', 'poetry & poets']",109,609
death,"Man In Boat, 1998",Vi Khi Nao,"It’s unbearable to shadowdrift along the seabed. It’s unbearable to grieve when sleeping is more important. The boat is a hammock without strings. As the body is a sleeve not strung to the soul. The boat is chained to the shadow; when the shadow drifts, the boat drifts too. Is it at sea? Or is it just in air? Can a boat live on air alone? The man’s back bleeds. This is all expected of creatures who sacrifice their nudity for solitude and immortality. The flesh is eager to float, fully captivated by the impulse to preserve an array of stillness. The horizon is not skirring and nothing can move on that river made of air. This boat. This boat. This boat that the horizon can’t coat with its own monolithic entreaty. The man bathes in all blemishes of the moon. The man’s body can take imperfection, as he feels complete. His white-grey hair is a type of condensed cloud he can rest his head on. If he must commit suicide, he knows he will rest on a very comfortable pillow, one that he grows from the ovoid base of his skull. It’s good to get all the hard work done first and then unbutton one’s corporeal flesh calmly before the undiluted enterprise of air. His penis is one finger pointing to the line that separates his thighs. Everything is hidden deliciously inside his pituitary gland.","['living', 'death', 'the body', 'activities', 'travels & journeys', 'arts & sciences', 'painting & sculpture']",236,1296
death,Cardinal Sin,Jonterri Gadson,"I don't love my son the way I thought my mother should love me so I handed him a shoe box to put the dead bird in and shut the door. It was a mistake, not to be sure he buried it, not to grab the children gathered at my back door by their shoulders to push them into a half-circle and a prayer. Should have made them take turns digging the hole, each one of their pudgy hands finger stiff red's box to lower it to the ground. It wasn't my place to teach other women's children about death, so my own son snuck the shoe box into his backpack, dead-eyed bird rolling like a plastic prize ball, told the principal this cold puff of field bird had been his pet. See him clutching a coffin the size of his feet, eyes wide over a pout, giving a man a reason good enough to hold him. after Louise Glück","['living', 'death', 'parenthood', 'nature', 'animals']",160,795
death,In my medicine cabinet,Jack Kerouac,In my medicine cabinet the winter fly Has died of old age,"['living', 'death', 'time & brevity', 'nature', 'animals']",12,57
death,Progress Notes,Fady Joudah,"The age of portrait is drugged. Beauty is symmetry so rare it’s a mystery. My left eye is smaller than my right, my big mouth shows my nice teeth perfectly aligned like Muslims in prayer. My lips an accordion. Each sneeze a facial thumbprint. One corner of my mouth hangs downward when I want to hold a guffaw hostage. Bell’s palsy perhaps or what Mark Twain said about steamboat piloting, that a doctor’s unable to look upon the blush in a young beauty’s face without thinking it could be a fever, a malar rash, a butterfly announcing a wolf. Can I lie facedown now as cadavers posed on first anatomy lesson? I didn’t know mine was a woman until three weeks later we turned her over. Out of reverence there was to be no untimely exposure of donors, our patrons who were covered in patches of scrubs-green dish towels, and by semester’s end we were sick of all that, tossed mega livers and mammoth hearts into lab air and caught them. My body was Margaret. That’s what the death certificate said when it was released before finals. The cause of her death? Nothing memorable, frail old age. But the colonel on table nineteen with an accessory spleen had put a bullet through his temple, a final prayer. Not in entry or exit were there skull cracks to condemn the house of death, no shattered glass in the brain, only a smooth tunnel of deep violet that bloomed in concentric circles. The weekends were lonely. He had the most beautiful muscles of all 32 bodies that were neatly arranged, zipped up as if a mass grave had been disinterred. Or when unzipped and facing the ceiling had cloth over their eyes as if they’d just been executed. Gray silver hair, chiseled countenance, he was sixty-seven, a veteran of more than one war. I had come across that which will end me, ex­- tend me, at least once, without knowing it.","['living', 'death', 'the body', 'activities', 'school & learning']",329,1819
death,"On a Day, In the World",Brenda Hillman,"We had a grief we didn't understand while standing at the edge of some low scrub hills as if humans were extra or already gone;— what had been in us before? a life that asks for mostly wanting freedom to get things done in order to feel less helpless about the end of things alone—; when i think of time on earth, i feel the angle of gray minutes entering the medium days yet not ""built-up"":: our work together: groups, the willing burden of an old belief, & beyond them love, as of a great life going like fast creatures peeling back marked seeds, gold-brown integuments the color time will be when we are gone—","['living', 'death', 'sorrow & grieving', 'time & brevity']",115,612
death,"Extra Hidden Life, among the Days",Brenda Hillman,"Sometimes , when i'm very tired , i think of extremophiles , chemolithoautotrophs & others with power for changing not-life into lives , of those that eat rock & fire in volcanoes , before the death of the world but after the death of a human , of their taste for ammonia or iron , sulfur & carbon , somehow enough of it to go on ... As workers taste revolt , they grow at the vents of oceans , turning mute vapor into respiration , changing unhinged matter to hinges , near the rims of sea trenches or the caves ... Our friend wrote of writers living in gray hiding, , of those who love glass & early freedom , steep sand & late freedom , sex among gentle or bitter grasses , those with a taste for blue or belligerence , obscure lives, she called them , the writers of radical mind … The living prefer life , mostly they do , they are ravenous , making shapes in groups as the dying grow one thought until the end , wanting more specifics , desert or delay until the i drops away into i am not here , the mineral other pumps & vast vapors , ridges & shadows beyond the single life it had not thought of—","['living', 'death', 'time & brevity', 'nature', 'animals', 'seas', 'rivers', '& streams']",220,1105
death,What I Did With Your Ashes,Amy Gerstler,"Shook the box like a maraca. Stood around like a dope in my punch-colored dress, clutching your box to my chest. Opened your plastic receptacle, the size of a jack-in-the-box. But instead of gaudy stripes, your box is sober-suit blue, hymnal blue. Tasted them. You've gained a statue's flavor, like licking the pyramids, or kissing sandstone shoulders. I mean boulders. Remarked to your box: ""REINCARNATION comes from roots meaning 'to be made flesh again.'"" Stowed your box under my bed for a week to seed dreams in which you advise me. (This didn't work.) Opened the Babylonian Talmud at random. Read aloud to your gritty, gray-white powder: ""There are three keys which the Holy One, blessed be He, has not entrusted into the hands of any messenger. These are: the key of rain, the key of birth, and the key of the resurrection of the dead."" Worked myself up to watery eyes. Any intensity evaporated the instant I stopped reading. Tried to intuit your format, sift it from tides of void. Does shape play a role? My watch ticked in an exaggerated way. Closed my eyes, sent forth mental tendrils seeking the nothing of you. They curled back on them- selves, weaving around the wing chair, a dog's leg, a lamp stand, eventu- ally heading back toward the nothing of me.","['living', 'death', 'sorrow & grieving', 'the body']",221,1267
death,Sonnet for Angelo Monterosa,Jack Agüeros,"Monterosa, your body is dead on Avenue A. Angelo, They found you eyes open staring at the beer Soaked floorboards. Did you want that? Did You mind them filling your back with buckshot? Angelo, I am angry with them all, and you Monterosa Killed and killers, killing and dealing dope. No good You were, no good they are. Still, I wish their fate To be bodies stacking under the same blue smoke. Monterosa, there is blood on your song, blood on the juke Box. The cowbell, the conga, and your corpse form the trio That is the rhinestone pin of my failure, your failure, Our failure, who loved, but did not rescue Angelo. Angel, hold him, while I bury him in these clean words, And pray to see the resurrection of the rose mountain.","['living', 'death', 'sorrow & grieving', 'social commentaries', 'crime & punishment']",134,727
death,What Didn't Work,Donna Masini,Chemo Tarceva prayer meditation affirmation Xanax Avastin Nebulizer Zofran Zoloft Vicodin notebooks nurses oxygen tank pastina magical thinking PET scans movies therapy phone calls candles acceptance denial meatloaf doctors rosary beads sleep Irish soda bread internet incantations visitors sesame oil pain patches CAT scans massage shopping thin sliced Italian bread with melted mozzarella St. Anthony oil Lourdes water St. Peregrine tea spring water get well cards relaxation tapes recliner cooking shows cotton T-shirts lawn furniture a new baby giving up Paris giving up Miami charts bargaining not bargaining connections counting with her breathing for her willPride and Prejudice Downton Abbey prayer watching TV not watching TV prayer prayer prayer prayer lists,"['living', 'death', 'health & illness', 'sorrow & grieving']",111,768
death,Poem by Poem,Juan Felipe Herrera,"—in memory of Cynthia Hurd, Susie Jackson, Ethel Lance, Rev. Depayne Middleton-Doctor, Hon. Rev. Clementa Pinckney, Tywanza Sanders, Rev. Daniel Simmons Sr., Rev. Sharonda Singleton, Myra Thompson Shot and killed while at church. Charleston, SC (6-18-2015), RIP poem by poem we can end the violence every day after every other day 9 killed in Charleston, South Carolina they are not 9 they are each one alive we do not know you have a poem to offer it is made of action—you must search for it run outside and give your life to it when you find it walk it back—blow upon it carry it taller than the city where you live when the blood comes down do not ask if it is your blood it is made of 9 drops honor them wash them stop them from falling","['living', 'death', 'sorrow & grieving', 'social commentaries', 'crime & punishment', 'history & politics']",138,740
death,Before,Ron Rash,"Before clock hands showed the time time ceased, and looking glasses were veiled as if they still held familiar faces, in those last moments when breath shallowed like a wellspring running dry, God-words quickened, only then the dying left death-beds borne on the arms of the gathered, lowered to the floor so they might press close, as though a door through which to listen and know the earth's old secrets before it opened, and they entered.","['living', 'death', 'time & brevity']",76,442
