Label,Title,Poet,Poem,Tags,Poem_word_count,Poem_char_count
love,Invisible Fish,Joy Harjo,"Invisible fish swim this ghost ocean now described by waves of sand, by water-worn rock. Soon the fish will learn to walk. Then humans will come ashore and paint dreams on the dying stone. Then later, much later, the ocean floor will be punctuated by Chevy trucks, carrying the dreamers’ decendants, who are going to the store.","['living', 'time & brevity', 'relationships', 'family & ancestors', 'nature', 'landscapes & pastorals', 'seas', 'rivers', '& streams', 'social commentaries', 'history & politics']",57,327
love,The Opposite of Nostalgia,Eric Gamalinda,"You are running away from everyone who loves you, from your family, from old lovers, from friends. They run after you with accumulations of a former life, copper earrings, plates of noodles, banners of many lost revolutions. You love to say the trees are naked now because it never happens in your country. This is a mystery from which you will never recover. And yes, the trees are naked now, everything that still breathes in them lies silent and stark and waiting. You love October most of all, how there is no word for so much splendor. This, too, is a source of consolation. Between you and memory everything is water. Names of the dead, or saints, or history. There is a realm in which —no, forget it, it’s still too early to make anyone understand. A man drives a stake through his own heart and afterwards the opposite of nostalgia begins to make sense: he stops raking the leaves and the leaves take over and again he has learned to let go.","['heartache & loss', 'fall']",173,949
love,“In the Evening We Shall Be Examined on Love”,Thomas Centolella,"—St. John of the Cross And it won’t be multiple choice, though some of us would prefer it that way. Neither will it be essay, which tempts us to run on when we should be sticking to the point, if not together. In the evening there shall be implications our fear will change to complications. No cheating, we’ll be told, and we’ll try to figure the cost of being true to ourselves. In the evening when the sky has turned that certain blue, blue of exam books, blue of no more daily evasions, we shall climb the hill as the light empties and park our tired bodies on a bench above the city and try to fill in the blanks. And we won’t be tested like defendants on trial, cross-examined till one of us breaks down, guilty as charged. No, in the evening, after the day has refused to testify, we shall be examined on love like students who don’t even recall signing up for the course and now must take their orals, forced to speak for once from the heart and not off the top of their heads. And when the evening is over and it’s late, the student body asleep, even the great teachers retired for the night, we shall stay up and run back over the questions, each in our own way: what’s true, what’s false, what unknown quantity will balance the equation, what it would mean years from now to look back and know we did not fail.",['love'],252,1321
love,Mom Betty Addresses the Nature of Proportion,Eileen R. Tabios,"After “She was the song of my dark hour,” a photograph by Paul Tañedo I woke up and I was old— It’s hard to judge if this new country was worth its costs— Fil and Eileen educated themselves— They blessed me with their happiness— Roy and Glen lost themselves to a car accident and something worse (that I will not reveal even for a poem)— When I see myself reflected in a mirror I turn away to hide both my eyes, all of my self— when half of your children are destroyed the half who flourish cannot compensate exactly as if a heart breaksexactly down the middle.","['living', 'growing old', 'parenthood', 'sorrow & grieving', 'love', 'heartache & loss', 'relationships', 'family & ancestors']",107,561
love,Memorial Day,Sunnylyn Thibodeaux,All that's left is the shroud the back wings. Roaches scurrying in the kitchen. There’s no greater threat than this time at hand. Drunken cackles from the street. Still damp from 4 AM rain. I missed the instructions for this part. The trap. The deflate of dream. Utopia was always supposed to be right at hand. Right and left. Any which way we’d make of it. Marine layer won’t budge for the rumble under our feet. Sky tears open in the north. Sirens on high. A small pool forms in the buckle of asphalt. In its gentle tremble the reflection of the grey white mass overhead with a perfect seam of blue. The rift where the dead speak how-tos.,"['relationships', 'home life', 'nature', 'animals']",119,640
love,Perihan,Sara Deniz Akant,it doesn’t matter when I cross. two seconds and they’re gone. the ferry facing Ulus. the trees that spanked of green. the narrow bags of temples. beyond that – just – these Peri scenes when the human body sweats the skin produce an oil when Peri bodies sweat it does not produce the oil the ropes fall to the pavement their waters slap me still their green glow sweats into the pavement waters slap me still – I could curl among the roses I would make an aqualung we will reach the edge of this walk soon. all lights torn out for fuel. move my fingers in the dark awoke without a start. Peri here – my name is Peri – my name is Perihan,"['relationships', 'family & ancestors', 'arts & sciences', 'language & linguistics', 'mythology & folklore', 'fairy-tales & legends']",125,635
love,His and Hers,Diane Gilliam Fisher,"She cannot imagine it otherwise. She wakes in the morning and twists her ring, loves how every night in their bed he lies breathing warm in the dark and never shies away. He lets her talk, he lets her sing. She cannot imagine it otherwise. One night she’s surprised how gently he tries to move her arm when he thinks she’s sleeping. In the night, in their bed, she sees he lies watching the ceiling long before sunrise. Too much coffee, too many late nights working. She cannot imagine it otherwise. He quiets. The more she worries and pries the less he tells her about anything. She’s sure every night in their bed he lies wanting a room beyond reach of her eyes. He sighs—she cries so much, Over nothing. She cannot imagine it otherwise: Every night in their bed, he lies.","['heartache & loss', 'realistic & complicated', 'men & women']",142,774
love,First Divorce,Diane Gilliam Fisher,"There was a bucket, there was a wall, there was a woman and a man. The woman carried the bucket and the man was the wall. There was no place else to go. It was a long, long time for there was much to carry and there was much to wall. There was a path ran straight from the well to the hole in the wall. There was a path ran crooked from the well to the wood. There was something in the wood bigger than the bucket. Woe to the man, woe to the wall. Woe to the bucket at the edge of the wood.","['break-ups & vexed love', 'men & women']",106,490
love,The Significance of Location,Pattiann Rogers,"The cat has the chance to make the sunlight Beautiful, to stop it and turn it immediately Into black fur and motion, to take it As shifting branch and brown feather Into the back of the brain forever. The cardinal has flown the sun in red Through the oak forest to the lawn. The finch has caught it in yellow And taken it among the thorns. By the spider It has been bound tightly and tied In an eight-stringed knot. The sun has been intercepted in its one Basic state and changed to a million varieties Of green stick and tassel. It has been broken Into pieces by glass rings, by mist Over the river. Its heat Has been given the board fence for body, The desert rock for fact. On winter hills It has been laid down in white like a martyr. This afternoon we could spread gold scarves Clear across the field and say in truth, ""Sun you are silk."" Imagine the sun totally isolated, Its brightness shot in continuous streaks straight out Into the black, never arrested, Never once being made light. Someone should take note Of how the earth has saved the sun from oblivion.","['relationships', 'pets', 'nature', 'animals', 'stars', 'planets', 'heavens']",199,1068
love,"History Textbook, America",JoAnn Balingit,"I'd search for Philippines in History class. The index named one page, moved on to Pierce.The Making of America marched past my enigmatic father's place of birth. The week he died some man we didn't know called up. This is his brother, one more shock,phoning for him. ""He died three days ago."" The leaden black receiver did not talk. My uncle never gave his name or town, we never heard from him. Was it a dream? The earpiece roar dissolved to crackling sounds, a dial tone erased the Philippines. And yet my world grows huge with maps, crisscrossed, my History alive with all I've lost.","['relationships', 'family & ancestors', 'social commentaries', 'history & politics', 'race & ethnicity']",105,587
