Label,Title,Poet,Poem,Tags,Poem_word_count,Poem_char_count
philosophy,Maxims 1,Anthony Madrid,"The ampalaya, no matter how bitter, Is sweet to those who like it. The hardest person to awaken Is a lover feigning sleep. The basketball held underwater Wants violently to come up. Easily split asunder is that Which never was united. The water is cold at first, for it Takes time to heat the pipe. The kids run away from home, only to Sit through endless classes. You take the battery out of a watch, You turn it into a liar. You strip the sheet off a drinking straw And stab it into the scalp. The basketball held underwater Wants violently to come up. The one who reads the sutra is not The one who knows what is said. My life is as unchanging As the surface of the moon. And I give you the same reason: I have no atmosphere. El hacha ya está puesta A la raíz de los árboles, Y todo árbol que no produzca buen fruto Is hewn down and cast into the fire. You take a rose by the throat. How much blood comes out your hand Is how recklessly you took hold, Is how shamelessly. Who wants to be great or holy Has no lust for peace. For peace is a thread only spools on a thing That’s good for nothing else.",['philosophy'],218,1102
philosophy,Emperor with No Clothes,Joseph Di Prisco,"If you care about yourself at all, come to your own aid while there's still time. Marcus Aurelius 3.14 Citizen of Rome, you are the center of the universe. Problem is, circumference is—take a guess—me. “Some things are impatient to be born While others are impatient to die.” Don’t say I did not warn you. Next time they swear Shit happens, pop them square in the nose. This will not help anybody, but helping is The farthest thing from my imperial mind. If you keep your spirit blameless and pure People will drape you with laurels but No one will have sex with you in backseats Or marble mausoleums or anywhere else, A small price to pay for honor and respect Though not for me, being an emperor with no clothes. Just pretend today is the last day of your life And act accordingly—not that such strictures Apply to Yours Truly, sports fans. The forces of evil march on the fortress Of your self. I wish I could explain why. But what if evil did not exist and what if Your self was no fortress, see what I mean? Stoics get a bad name. Not in touch with feelings. Too rigid. Know-it-all cocksure mothers. So the Stoics retain PR firms, don’t tell a soul. If you really knew what was good for you, And you do, why do you care I’ll flail you alive? True, pissing off your emperor is a poor plan, Even one like me mounted bare-assed on a steed. Once upon a time, children…The story peters out. Circus revels and gladiatorial raves— Seen one, seem them all. Life is tiresome, When will it end and will we ever notice? I wish I knew. Really, I wish I cared. My pal, Marcus Aurelius, natters day and night: “Living is more like wrestling than dancing.” Guess he never saw me take Molly at the club. And he says we always have the option of Having no opinion. Right. Like he knows. OK, then, where did I put my pants?","['arts & sciences', 'philosophy', 'mythology & folklore', 'fairy-tales & legends']",340,1810
philosophy,"from From ""Living Truthfully Under Imaginary Circumstances""",Elizabeth A.I. Powell,"The goal of the Meisner acting technique has often been described as getting actors to ""live truthfully under imaginary circumstances."" Here are some acting games we have found useful. I. THE REPETITION GAME: The Moment is a Tricky Fucker","['arts & sciences', 'philosophy', 'theater & dance']",39,238
philosophy,About Suffering,Elisa Gabbert,"Part of suffering is the useless urge to announce that you’re suffering. There is no other way to say it: I’m suffering. Just to say “I suffer” helps. I read somewhere, “we become lyrical when we suffer.” Happiness is suffering for the right reasons. First-order suffering is second-order happiness. You have to suffer for beauty? Because you have to suffer. We pride ourselves on a high quality of suffering. Turgenev was born in 1818 in the Province of Orel, and suffered during his childhood from a tyrannical mother. In the past their suffering was less absurd. The problem is, everything’s worse. Like, paper or plastic? We’re all still going to die suffering. I value being alone with my thoughts, but it’s weird to say, “This thing that makes us suffer less, we have to stop doing it.” Isn’t it kind of the point of culture to assuage our feeling needless and alone? How does one suffer “gladly,” exactly? At least the rich get to suffer in comfort. It makes the life feel longer. Live to suffer another day. One’s past suffering can be a great source of comfort. A torturous luxury. Velvet upholstery. Suffering is happiness, after forty minutes of desolate shuffling. The point is, life is suffering. About suffering, no one is ever wrong.","['living', 'arts & sciences', 'philosophy']",215,1248
philosophy,The Old Man's Complaints. And how he gained them,Robert Southey,"You are old, Father William, the young man cried, The few locks which are left you are grey;You are hale, Father William, a hearty old man, Now tell me the reason I pray.In the days of my youth, Father William replied, I remember'd that youth would fly fast,And abused not my health and my vigour at first That I never might need them at last.You are old, Father William, the young man cried, And pleasures with youth pass away,And yet you lament not the days that are gone, Now tell me the reason I pray.In the days of my youth, Father William replied, I remember'd that youth could not last;I thought of the future whatever I did, That I never might grieve for the past.You are old, Father William, the young man cried, And life must be hastening away;You are chearful, and love to converse upon death! Now tell me the reason I pray.I am chearful, young man, Father William replied, Let the cause thy attention engage;In the days of my youth I remember'd my God! And He hath not forgotten my age.","['living', 'growing old', 'philosophy']",183,998
philosophy,Autobiography,Kazim Ali,we didn’t really speak my summer wants to answer the architecture doesn’t matter this is not my real life when I am here I want to know why do I believe what I was taught a storm is on the way close all the windows begin at the earliest hour is there a self,"['living', 'the mind', 'time & brevity', 'arts & sciences', 'philosophy']",54,257
philosophy,Self-Portrait at Ten,Roxane Beth Johnson,"A boarded-up house. Ransacked inside — broken glass and toppled tables, chairs overturned, books shaken for hidden money. There are mouths in dreams full of gold teeth, chewing bread and meat. The body is hollow as flame and will burn down anything if pointed straight. A bird flies in through the door, then flutters at the window. Although he is tiny, I am too afraid to help him escape. I’ve made myself another house. I hum to fill its empty rooms. I fold in like saloon doors closing, then swinging out, keeping out thieves.","['living', 'philosophy', 'social commentaries', 'class']",94,529
philosophy,Grand Slam,Marjorie Maddox,"Dreams brimming over, childhood stretched out in legs, this is the moment replayed on winter days when frost covers the field, when age steals away wishes. Glorious sleep that seeps back there to the glory of our baseball days.","['living', 'time & brevity', 'activities', 'sports & outdoor activities', 'nature', 'winter', 'philosophy']",39,227
philosophy,Spitwads,Michael McFee,"Little paper cuds we made by ripping the corners or edges from homework and class notes then ruminating them into balls we’d flick from our fingertips or catapult with pencils or (sometimes after lunch) launch through striped straws like deadly projectiles toward the necks of enemies and any other target where they’d stick with the tiniest splat, I hope you’re still there, stuck to unreachable ceilings like the beginnings of nests by generations of wasps too ignorant to finish them or under desktops with blunt stalactites of chewing gum, little white words we learned to shape and hold in our mouths while waiting to let them fly, our most tenacious utterance.","['living', 'activities', 'school & learning', 'philosophy']",111,666
philosophy,Palindrome,Lisel Mueller,"There is less difficulty—indeed, no logical difficulty at all—in imagining two portions of the universe, say two galaxies, in which time goes one way in one galaxy and the opposite way in the other. . . . Intelligent beings in each galaxy would regard their own time as “forward” and time in the other galaxy as “backward.” —Martin Gardner, in Scientific American Somewhere now she takes off the dress I am putting on. It is evening in the antiworld where she lives. She is forty-five years away from her death, the hole which spit her out into pain, impossible at first, later easing, going, gone. She has unlearned much by now. Her skin is firming, her memory sharpens, her hair has grown glossy. She sees without glasses, she falls in love easily. Her husband has lost his shuffle, they laugh together. Their money shrinks, but their ardor increases. Soon her second child will be young enough to fight its way into her body and change its life to monkey to frog to tadpole to cluster of cells to tiny island to nothing. She is making a list: Things I will need in the past lipstick shampoo transistor radio Sergeant Pepper acne cream five-year diary with a lock She is eager, having heard about adolescent love and the freedom of children. She wants to read Crime and Punishment and ride on a roller coaster without getting sick. I think of her as she will be at fifteen, awkward, too serious. In the mirror I see she uses her left hand to write, her other to open a jar. By now our lives should have crossed. Somewhere sometime we must have passed one another like going and coming trains, with both of us looking the other way.","['living', 'growing old', 'life choices', 'midlife', 'the body', 'the mind', 'time & brevity', 'philosophy']",295,1633
philosophy,Mosquito,J. Patrick Lewis,"I was climbing up the sliding board When suddenly I felt A mosquito bite my bottom And it raised a big red welt. So I said to that mosquito, “I'm sure you wouldn't mind If I took a pair of tweezers And I tweezered your behind!” He shriveled up his body And he shuffled to his feet, And he said, “I'm awfully sorry But a skeeter's got to eat! Still, there are mosquito manners, And I must have just forgot 'em. And I swear I'll never never never Bite another bottom.” But a minute later Archie Hill And Buck and Theo Brown Were horsing on the monkey bars, Hanging upside down. They must have looked delicious From a skeeter's point of view 'Cause he bit 'em on the bottoms, Archie, Buck and Theo too! You could hear 'em goin' HOLY! You could hear 'em goin' WHACK! You could hear 'em cuss and holler, Goin' smack, smack, smack. A mosquito's awful sneaky, A mosquito's mighty sly, But I never never never Thought a skeeter'd tell a lie.","['living', 'disappointment & failure', 'nature', 'animals', 'philosophy']",176,933
philosophy,The Atrophy of Private LIfe,Jennifer Moxley,"In the heavy fashion magazines strewn here and there around the house the photos of objects and people mouth the word “money,” but you, assuming no one wants you anymore, mishear the message as “meaning.” Arousal follows. The lives of the rich are so fabulous! The destruction of the poetical lies heavily on their hands, as on their swollen notion that we are always watching. There is nothing behind the mask. Nothing suffocating under its pressure, no human essence trying to get out. Awareness, always awareness. Don’t you see how these elaborate masks are turning you into a zombie? The private life is not for the eye but for the endless interior. It is trying to push all this crap aside and find the missing line. Nobody, least of all the future, cares about the outcome of this quest. It is easy to lose, through meddling or neglect, an entire aspect of existence. And sometimes, to cultivate a single new thought, you need not only silence but an entirely new life.","['living', 'the mind', 'arts & sciences', 'philosophy', 'social commentaries', 'popular culture']",171,975
philosophy,"Book 3, Epigram 36",Thomas Bastard,"The peasant Corus of his wealth does boast, Yet he’s scarce worth twice twenty pounds at most. I chanc’d to word once with this lowly swain, He called me base, and beggar in disdain. To try the truth hereof I rate myself, And cast the little count of all my wealth. See how much Hebrew, Greek, and Poetry, Latin Rhetoric, and Philosophy, Reading, and sense in sciences profound, All valued, are not worth forty pounds. ﻿","['living', 'midlife', 'arts & sciences', 'philosophy', 'poetry & poets', 'reading & books', 'sciences', 'social commentaries', 'money & economics']",76,420
philosophy,"Book 7, Epigram 9: De senectute & iuuentute. ﻿",Thomas Bastard,"Age is deformed, youth unkind, We scorn their bodies, they our mind. ﻿","['living', 'coming of age', 'growing old', 'philosophy']",13,70
philosophy,"Book 7, Epigram 36: De puero balbutiente. ﻿",Thomas Bastard,"Methinks 'tis pretty sport to hear a child, Rocking a word in mouth yet undefiled. The tender racket rudely plays the sound, Which weakly banded cannot back rebound, And the soft air the softer roof does kiss, With a sweet dying and a pretty miss, Which hears no answer yet from the white rank Of teeth, not risen from their coral bank. The alphabet is searched for letters soft, To try a word before it can be wrought, And when it slides forth, it goes as nice, As when a man does walk upon the ice. ﻿","['living', 'arts & sciences', 'language & linguistics', 'philosophy']",97,502
philosophy,The Beginning of Speech,Adonis,"The child I was came to me once, a strange face He said nothing We walked each of us glancing at the other in silence, our steps a strange river running in between We were brought together by good manners and these sheets now flying in the wind then we split, a forest written by earth watered by the seasons’ change. Child who once was, come forth— What brings us together now, and what do we have to say?","['living', 'the mind', 'time & brevity', 'arts & sciences', 'language & linguistics', 'philosophy']",79,406
philosophy,When I Am Gone,Shel Silverstein,When I am gone what will you do? Who will write and draw for you? Someone smarter—someone new? Someone better—maybe YOU!,"['living', 'coming of age', 'philosophy']",21,120
philosophy,A Lady Dressed By Youth,Duchess of Newcastle Margaret Cavendish,"Her hair was curls of Pleasure and Delight,Which on her brow did cast a glistening light.As lace her bashful eyelids downward hung:A modest countenance o'er her face was flung:Blushes, as coral beads, she strung to wearAbout her neck, and pendants for each ear:Her gown was by Proportion cut and made,With veins embroidered, with complexion laid,Rich jewels of pure honor she did wear, By noble actions brightened everywhere:Thus dressed, to Fame's great court straightways she went,To dance a brawl with Youth, Love, Mirth, Content.","['living', 'the body', 'philosophy']",83,533
philosophy,A Red Tricycle in the Belly of the Pool,Karyna McGlynn,"the live oak over the nursery got a disease they could only save one limb it wasn’t surprising; it wasn’t that kind of nursery a girl rode her red tricycle around the bottom of the pool the pool had no water; it hadn’t rained the girl kept smelling her hand it smelled like honeywheat, or the inside of a girl’s panties someone said, race you she nodded okay and pedaled like hell after three laps no one had passed her she looked over her shoulder, lost her balance ripped her hands & knees on the blue concrete the one limb on the live oak curved like a question would she need stitches again there was already ink under her skin & iodine on her tongue or was it the other way around she could see black thread bunching sewing centipedes under her skin her throat burned and she couldn’t move her legs it wasn’t a tricycle it was something she couldn’t get her foot out from under she hated to stop or lose her shoe and, I’m sorry the pool was full of water","['living', 'the body', 'philosophy']",184,959
