Label,Title,Poet,Poem,Tags,Poem_word_count,Poem_char_count
the spiritual,Don’t Bother the Earth Spirit,Joy Harjo,"Don’t bother the earth spirit who lives here. She is working on a story. It is the oldest story in the world and it is delicate, changing. If she sees you watching she will invite you in for coffee, give you warm bread, and you will be obligated to stay and listen. But this is no ordinary story. You will have to endure earthquakes, lightning, the deaths of all those you love, the most blinding beauty. It’s a story so compelling you may never want to leave; this is how she traps you. See that stone finger over there? That is the only one who ever escaped.","['religion', 'the spiritual', 'mythology & folklore', 'fairy-tales & legends']",107,560
the spiritual,All,Barbara Ras,"The prisoner can’t go any longer, but he does. The beggar can’t go on begging, but watch— Tomorrow he’ll be in the alley, holding out a bowl To everyone, to even a young, possibly poorer, child. The mother can’t go on believing, But she will kneel for hours in the cathedral, Holding silence in her arms. The rain goes on, daily, sometimes, and we cry, As often as not alone. The fishmonger, the bell ringer, the cook, each Can be corrupted in a less than dire way. Nothing can replace the sea breezes you were born to. Nothing can stay the shy ache in the palm you hold out to the fortune-teller. The concrete lions on her steps go on Making bloodless journeys, they go on Hunting in air longer than any of you will live to watch, Hunting still after your futures become all irises and blamelessness.","['life choices', 'faith & doubt']",148,801
the spiritual,Order,Indran Amirthanayagam,"Jesus did not ride that monstrous wave, not Yahweh, Jah, Allah, none of the major Gods or the minor ones, not even the godless strode that bugger which sliced our lives in two: the past where we danced ballroom while the children played carom, and mangos stained our lapels, and today, hobbling, scavenging in ash heaps, how easy the arithmetic, day and night, two by two. Bring on the mind workers. Let a thousand doctors bloom. I lived right here on the x, my name is blue: sea green blue blue green I do not speak in tongues. I am not disordered, a babbler. I did not lose anybody close to me, just 30,000 fellow island bees, not to worry, machan, old fellow, I will subscribe tomorrow, the order of every day, skip and jump rope, whistle, talk to aid workers, even swim.",['faith & doubt'],143,774
the spiritual,The Properties of Light,Eric Gamalinda,"Mid-October in Central Park, one of the elms has changed early, burning with a light grown accustomed to its own magnificence, imperceptible until this moment when it becomes more than itself, more than a ritual of self-immolation. I think of sacrifice as nourishment, the light feeding bark and veins and blood and skin, the tree better off for wanting nothing more. I used to imagine the chakra like this—a hole in the soul from the top of the head, where the light of knowing can shimmer through. In the summer of 1979 I saw that light shoot from my brother’s forehead as we sat chanting in a temple in Manila. He didn’t see it pulsing like a bulb in a storm, but he said he felt the warmth that wasn’t warmth but peace. And I, who have never been so privileged, since then have wondered if we believed everything because not to believe was to be unhappy. I’ve seen that light elsewhere —on a river in Bangkok, or pixeled across the shattered façades of Prague—but it is here where I perceive its keenest rarity, where I know it has passed over all the world, has given shape to cities, cast glamour over the eyes of the skeptic, so that it comes to me informed with the wonder of many beings. I can’t begin to say how infinite I feel, as though I were one of many a weightless absence touches, and out of this a strange transformation: the soul ringed with changes, as old as a tree, as old as light. I am always learning the same thing: there is no other way to live than this, still, and grateful, and full of longing.","['the body', 'the spiritual']",284,1524
the spiritual,Real Complex Key Shifts,Amanda Nadelberg,"Toward summer or its dependence On demarcations in the sandy vial Some tree spelling astronaut onto a Planet’s arm, it stopped making sense. I am not an apothecary or a wave Or a dog by the 15th hole, I am not A light sparking a whole country’s demise. I will never be a towel holding someone’s Sunscreen while they wash it off in foreign Seas. My hair goes up and down, it’s true As it is I am not a bag of tea nor will I ever Be exceptionally happy. Let the director Know I was distressed by the construction Noise, that I had no known allergies that My parents convinced me I was wanted And why wouldn’t you believe them. If the earth when it opened dragged away Our sense of faith, doubt was an Invention I preferred to ignore in the Manner of solicitations by mail.","['living', 'the mind', 'religion', 'faith & doubt']",148,770
the spiritual,Namaste,Thomas Centolella,"The god in me does not honor the god in you. The god in you murdered me once, and once was more than enough. So the god in me, adept at keeping my nature warm and inspired to love the benign, now prefers the chilly air of indifference, something picked up like a virus from the most vicious of mortals. The god in me regards the god in you as suspect, though sad to say, it wasn’t always so. There were the generous days in the beginning, when every word was made flesh. In the beginning the gods in us were content to let us go on behaving like perfect mortals, which is to say imperfectly, which is to say with our tenderness fully intact: the good kind that let us gladly undress our trepidations, and pleasure our solitude into a blissful oblivion; and the bad kind— invisible woundings no compliment or hot kiss, no confession of the amorous could soothe for long. And then, when the mortals we were had done enough to remind us that to be mortal is to be susceptible to the secret agenda, the cruel caprice, the soft but eviscerating voice— “at the mercy of a nuance”— the god in you decided it was time to act. A dark god, in need of a human sacrifice, smoothly turning your back on the earnest and their pathetic pleas. So the god in me, no stranger to the aberrant and the abhorrent, now has no choice but to respond in kind. A pity, really, since it has been the dream of so many gods to find themselves in some quiet room, the burden of power slipped off and scattered like clothes across the floor, the light of late afternoon a kind of benediction, and everywhere the gratitude for the privilege of feeling almost human.","['god & the divine', 'war & conflict']",307,1633
the spiritual,"""A lamb blinking over a patch of earth""",Daniel Nadler,"A lamb blinking over a patch of earth does not know what you have done. Feed it, and it will eat from your hand as if you wore the skin of a washed grape.","['nature', 'animals', 'religion', 'christianity']",34,154
the spiritual,[I have become wealthy in a foreign land],Johannes Göransson,I have become wealthy in a foreign land gravity makes me sick in my slippery throat the devil makes me lousy with summer like I'm buried in the sun in its sounds with my mother there's something about having a heart beat like traffic like wind I did it afterall: I had a sweaty body in Berlin it was all right I'm taking some time out from being alive with daughters It's OK I'm impersonating a kiss of lilacs a murder of crows are settling over my corpse the dust covers my photographs I only ever write about childhood because that was before I died and now the devil has brought me back to Berlin in summer in Stockholm I'm starting to make sense of my body which is becoming buried in pop music and now ooh-ooh I have to rebuild the wall an erotics based on occupation I write you a letter ett brev about my body as if it were split between foreign words whispered by stringy angels and soldiers who march in through the eye of a needle I write my body with the eye of a needle with nålen I write when I'm sick with gravity in summer in summer I'm sick in light summer light musical light from hell and you dare call it heaven my body you dare to call it heaven,"['living', 'the body', 'activities', 'travels & journeys', 'nature', 'summer', 'religion', 'the spiritual']",228,1165
the spiritual,Glossary of Selected Terms,Jonterri Gadson,"What is skin, if not a taut swaddle loosening, body if not a warm swaddle cooling, blood if not thread in a swaddle made of body, horizons if not lines where sky swaddles Earth. See father.Stars, if not swaddled matter emitting light. See spirit.Wind, if it does not trace paths around bodies. See blood.Universe, if not outermost concentric circle. See mother. A kiss, if not mouths pressed into wet twists, taste if not flavor swaddling tongue, father if not the option to swaddle, spirit if not the smallest unit of the swaddled, mother if not hips swaddling womb. See skin. See body. See wind. See universe. See blood. ​after Nin Andrews","['living', 'the body', 'religion', 'the spiritual']",111,641
the spiritual,Antarctica,James Hoch,"Like nights we knelt on the dirt floor of a dugout, leaned our heads back, eyes twitching gone, and popped nitrous canisters into the communion shapes of our mouths, slipped inside where everything seemed to be falling snow, ice, the time split between chasing flies through a darkened park and sprawling in sycamore bark—how clean that abyss we drifted in, like dew, more like pollen, on our skins; and, beneath, a want for touch, a kiss, a return. Like nothing back then, to break an arm latching on to the bumper of an Impala, or settling back as the car took us as far as the salted bridge, before letting the ride go with a mitten caught behind the chrome waving from the other side of the river. Like this, you said, sliding a needle, watching dope plunge, the body's rush and tow until you felt something like an angel hovering above, but it was only pigeon feathers deviling the air. Those friends are gone: some dead, dying, locked up or jailed in themselves; and when I see some kids running in the heat of a taillight swirling behind them, I remember we wanted only to quiet our bodies, their unnatural hum, a vague pull inward, some thin furrows gliding over the snow.","['living', 'coming of age', 'life choices', 'religion', 'god & the divine']",213,1180
